,president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp,datenumber
0,Donald Trump,All polls,10/26/2018,1/20/2017,1/22/2017,Morning Consult,B-,1992.0,rv,0.9464370999999999,0.0,46.0,37.0,42.96395,39.15502,,,http://www.politico.com/story/2017/01/poll-voters-liked-trumps-inaugural-address-234148,49249,77261,1/23/2017,09:39:46 26 Oct 2018,736351.0
1,Donald Trump,All polls,10/26/2018,1/20/2017,1/22/2017,Gallup,B,1500.0,a,0.2454292,0.0,45.0,45.0,46.03185,43.22463,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49253,77265,1/23/2017,09:39:46 26 Oct 2018,736351.0
2,Donald Trump,All polls,10/26/2018,1/20/2017,1/24/2017,Ipsos,B+,1632.0,a,0.224456,0.0,42.1,45.2,42.558,43.93159,,T,http://polling.reuters.com/#poll/CP3_2/,49426,77599,3/1/2017,09:39:46 26 Oct 2018,736353.0
3,Donald Trump,All polls,10/26/2018,1/21/2017,1/23/2017,Gallup,B,1500.0,a,0.22678800000000002,0.0,45.0,46.0,46.03185,44.22463,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49262,77274,1/24/2017,09:39:46 26 Oct 2018,736352.0
4,Donald Trump,All polls,10/26/2018,1/20/2017,1/25/2017,Quinnipiac University,A-,1190.0,rv,1.6446619999999998,0.0,36.0,44.0,37.72704,42.528909999999996,,,https://poll.qu.edu/national/release-detail?ReleaseID=2415,49260,77272,1/26/2017,09:39:46 26 Oct 2018,736354.0
5,Donald Trump,All polls,10/26/2018,1/22/2017,1/24/2017,Gallup,B,1500.0,a,0.21204740000000002,0.0,46.0,45.0,47.03185,43.22463,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49236,77248,1/25/2017,09:39:46 26 Oct 2018,736353.0
6,Donald Trump,All polls,10/26/2018,1/22/2017,1/24/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500.0,lv,0.22039029999999998,0.0,57.0,43.0,51.67122,43.63256,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49266,77278,1/25/2017,09:39:46 26 Oct 2018,736353.0
7,Donald Trump,All polls,10/26/2018,1/21/2017,1/25/2017,Ipsos,B+,1651.0,a,0.20994839999999998,0.0,42.3,45.8,42.758,44.53159,,T,http://polling.reuters.com/#poll/CP3_2/,49425,77598,3/1/2017,09:39:46 26 Oct 2018,736354.0
8,Donald Trump,All polls,10/26/2018,1/22/2017,1/26/2017,Ipsos,B+,1678.0,a,0.1992776,0.0,42.6,46.4,43.058,45.13159,,T,http://polling.reuters.com/#poll/CP3_2/,49424,77597,3/1/2017,09:39:46 26 Oct 2018,736355.0
9,Donald Trump,All polls,10/26/2018,1/23/2017,1/25/2017,Gallup,B,1500.0,a,0.20016779999999998,0.0,46.0,45.0,47.03185,43.22463,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49245,77257,1/26/2017,09:39:46 26 Oct 2018,736354.0
